a 可
ayir 恥
ayj 捣
ayjs 捣
ayk 换
aykg 换
ayl 搀
aylo 攙
aylq 挽
ayls 搀
ayo 蛰
ayob 絷
ayod 执
ayoh 垫
ayok 蛰
ayok 贽
ayot 挚
ayou 热
ayox 势
ayoy 鸷
aypd 搥
ayq 耽
ayqr 耽
ayqr 抌
ayr 掐
ayrj 掐
ays 擔
aysc 𭡔
aysj 揜
aysu 擔
aysu 聸
ayt 探
aytf 探
aytn 捔
aywh 捔
aywi 搉
ayx 挣
ayxj 掵
ayxk 抛
ayxv 挣
ayxv 𬻗
ayym 𭡁
b 对
ba 怼
baao 𭕙
babu 緅
bacu 对
baeh 𭣧
bael 𭕷
baid 𭃃
bauj 縉
bawl 𭕣
bayi 怼
bb 双
bbb 桑
bbbb 叕
bbbb 敠
bbbd 刕
bbbe 歠
bbbe 敪
bbbe 欼
bbbf 桑
bbbf 縔
bbbk 颡
bbbk 飝
bbbk 𭫌
bbbm 叠
bbbm 剟
bbbm 𭄅
bbbm 𮚔
bbbp 逫
bbbr 毲
bbbu 叒
bbbw 脋
bbfv 𭩞
bbhj 𭄎
bbmf 𭃽
bbod 𭃇
bbuu 双
bc 丑
bca 屙
bcal 屙
bcbd 𭃋
bcc 丑
bccb 丑
bcj 邓
bcjj 邔
bcju 邓
bcnj 妀
bcym 毑
bd 刀
bdar 𭕹
bdar 𭕽
bdd 刀
bddb 刀
bddd ⼑
bddh ，
bddy ‘
bddy ’
bddy 「
bddy 」
bddz 々
bddz 〆
bdfh ；
bdg 居
bdgh 居
bdgk 繊
bdgp 𮉓
bdhr 𭕮
bdim 毌
bdim ⽏
bdjg ·
bdjh 。
bdji ·
bdk 贯
bdkb 贯
bdkg 　
bdkk 蠡
bdkm 劙
bdlj 〔
bdlj 〕
bdm 剧
bdmd 剧
bdmd 剶
bdme 𭕥
bdmh ：
bdmn 盠
bdoo 〇
bdrl 𭕻
bdsm 彖
bdsm 《
bdsm 》
bdsy “
bdsy ”
bdsy 『
bdsy 』
bdth ！
bdwh ？
bdxq □
bdyh 屚
bdyk ）
bdzk （
be 欢
begg 𭃝
beh 改
behj 改
